id,Genero,Idade,Raça,Formação,Estado,Tempo de casa,Departamento,Senioridade,Idade Ingresso
1,Fem,34,pardo,Ensino Médio,Santa Catarina,12.0,Compras,Analista Pleno,22.0
2,Fem,26,pardo,Ensino Médio,Pará,6.0,Contabilidade,Analista Júnior,20.0
3,Masc,35,pardo,Ensino Médio,Santa Catarina,5.0,Vendas,Analista Pleno,30.0
4,Masc,24,pardo,Ensino Superior,Tocantins,4.0,Administrativo,Gerente,20.0
5,Masc,21,pardo,Ensino Superior,Ceará,5.0,Recursos Humanos,Analista Júnior,16.0
6,Fem,49,pardo,Ensino Superior,São Paulo,3.0,Contabilidade,Analista Pleno,46.0
7,Masc,29,pardo,Pós graduação,Ceará,9.0,Compras,Analista Sênior,20.0
8,Masc,35,pardo,Ensino Superior,Rondônia,8.0,Operações,Analista Júnior,27.0
9,Masc,40,pardo,Mestrado,Amapá,1.0,Administrativo,Analista Pleno,39.0
10,Masc,33,pardo,Ensino Superior,Minas Gerais,3.0,Desenvolvimento de Produtos,Analista Pleno,30.0
11,Fem,54,pardo,Pós graduação,São Paulo,5.0,Recursos Humanos,Analista Sênior,49.0
12,Masc,34,pardo,Mestrado,Acre,3.0,Administrativo,Analista Júnior,31.0
13,Masc,30,preto,Pós graduação,Santa Catarina,5.0,Administrativo,Analista Júnior,25.0
14,Fem,35,preto,Doutorado,Roraima,6.0,Contabilidade,Analista Júnior,29.0
15,Masc,30,branco,Ensino Médio,Amazonas,5.0,Administrativo,Analista Júnior,25.0
16,Masc,37,branco,Mestrado,São Paulo,8.0,Desenvolvimento de Produtos,Analista Júnior,29.0
17,Masc,29,branco,Pós graduação,Roraima,3.0,Administrativo,Analista Sênior,26.0
18,Masc,38,pardo,Doutorado,Minas Gerais,3.0,Administrativo,Analista Sênior,35.0
19,Masc,30,branco,Ensino Médio,Ceará,5.0,Contabilidade,Gerente,25.0
20,Masc,41,pardo,Ensino Superior,Paraná,5.0,Administrativo,Analista Júnior,36.0
21,Masc,46,branco,Ensino Superior,Santa Catarina,3.0,Recursos Humanos,Analista Pleno,43.0
22,Masc,49,pardo,Doutorado,Acre,6.0,Contabilidade,Estagiário,43.0
23,Masc,26,pardo,Ensino Superior,Bahia,8.0,Vendas,Analista Júnior,18.0
24,Masc,31,branco,Ensino Médio,Amazonas,0.0,Operações,Estagiário,31.0
25,Masc,29,branco,Ensino Superior,Piauí,7.0,Marketing,Analista Júnior,22.0
26,Fem,31,pardo,Ensino Superior,São Paulo,4.0,Contabilidade,Estagiário,27.0
27,Fem,35,preto,Ensino Superior,São Paulo,5.0,Compras,Analista Júnior,30.0
28,Masc,32,branco,Ensino Superior,Goiás,5.0,TI,Analista Sênior,27.0
29,Fem,48,preto,Ensino Superior,Rio de Janeiro,3.0,Administrativo,Gerente,45.0
30,Fem,29,branco,Ensino Superior,Paraná,0.0,Administrativo,Gerente,29.0
32,Fem,39,pardo,Mestrado,Paraná,4.0,Recursos Humanos,Gerente,35.0
33,Fem,30,branco,Mestrado,Piauí,5.0,Marketing,Analista Júnior,25.0
35,Masc,44,branco,Ensino Superior,Pernambuco,4.0,Operações,Gerente,40.0
36,Masc,47,pardo,Ensino Superior,Ceará,2.0,Administrativo,Estagiário,45.0
37,Masc,33,branco,Ensino Superior,Ceará,4.0,Compras,Analista Pleno,29.0
38,Masc,31,pardo,Ensino Superior,Tocantins,6.0,Desenvolvimento de Produtos,Analista Pleno,25.0
39,Fem,27,preto,Ensino Médio,Mato Grosso,0.0,Administrativo,Analista Júnior,27.0
40,Fem,28,preto,Ensino Superior,Rio de Janeiro,8.0,Marketing,Analista Sênior,20.0
41,Fem,29,branco,Mestrado,Amapá,1.0,Compras,Analista Júnior,28.0
42,Masc,34,branco,Ensino Superior,Pernambuco,0.0,TI,Analista Sênior,34.0
43,Masc,31,preto,Ensino Superior,Rio de Janeiro,8.0,Compras,Analista Júnior,23.0
44,Masc,30,branco,Ensino Superior,Rio Grande do Norte,8.0,Vendas,Analista Pleno,22.0
45,Masc,22,branco,Mestrado,Pernambuco,1.0,Marketing,Analista Pleno,21.0
46,Masc,21,pardo,Ensino Superior,Amapá,7.0,Contabilidade,Analista Pleno,14.0
47,Masc,39,pardo,Pós graduação,Paraná,6.0,Compras,Analista Pleno,33.0
48,Masc,20,pardo,Ensino Superior,Acre,4.0,Contabilidade,Analista Pleno,16.0
49,Masc,36,pardo,Pós graduação,Paraná,8.0,Recursos Humanos,Analista Pleno,28.0
50,Masc,30,pardo,Ensino Superior,Amapá,5.0,Compras,Analista Pleno,25.0
51,Fem,29,branco,Ensino Médio,Santa Catarina,2.0,Contabilidade,Analista Júnior,27.0
52,Masc,33,branco,Ensino Superior,São Paulo,5.0,Operações,Analista Júnior,28.0
53,Masc,49,branco,Ensino Superior,Piauí,2.0,Operações,Analista Pleno,47.0
54,Fem,40,branco,Pós graduação,Rio Grande do Sul,4.0,Contabilidade,Analista Pleno,36.0
55,Fem,37,branco,Doutorado,Rio de Janeiro,4.0,Administrativo,Analista Júnior,33.0
56,Masc,30,branco,Mestrado,Rondônia,5.0,TI,Estagiário,25.0
57,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5.0,Compras,Analista Pleno,25.0
58,Masc,24,pardo,Ensino Superior,Paraná,8.0,Compras,Analista Sênior,16.0
59,Masc,37,pardo,Ensino Superior,Paraná,7.0,Recursos Humanos,Analista Sênior,30.0
60,Masc,29,branco,Pós graduação,Rio Grande do Sul,2.0,Marketing,Gerente,27.0
61,Fem,30,branco,Ensino Superior,Minas Gerais,7.0,Desenvolvimento de Produtos,Analista Júnior,23.0
62,Masc,30,pardo,Ensino Superior,Minas Gerais,5.0,Desenvolvimento de Produtos,Analista Sênior,25.0
64,Masc,29,pardo,Ensino Superior,Bahia,9.0,TI,Analista Júnior,20.0
65,Masc,21,pardo,Mestrado,Espírito Santo,6.0,TI,Analista Júnior,15.0
66,Masc,27,pardo,Pós graduação,São Paulo,5.0,Operações,Analista Júnior,22.0
67,Masc,31,pardo,Ensino Superior,Rio Grande do Sul,5.0,Vendas,Analista Júnior,26.0
